for;IN;;
of;IN;;
amazing;JJ;IN;2
excellence;JJ;JJ;13
feel;JJ;MD;2
fun;JJ;NN;42
hug;JJ;NNP;5
human;JJ;NNS;5
important;JJ;PRP;4
innovative;JJ;RB;5
paw;JJ;TO;3
positive;JJ;VB;5
possible;JJ;VBG;5
present;JJ;VBN;3
strong;JJ;VBP;5
talent;JJ;;
will;MD;;
will;MD;;
action;NN;;
capacity;NN;;
change;NN;;
clarity;NN;;
community;NN;;
comply;NN;;
congruence;NN;;
contribution;NN;;
delivery;NN;;
disruption;NN;;
disruptor;NN;;
effort;NN;;
equipment;NN;;
essence;NN;;
example;NN;;
future;NN;;
innovation;NN;;
input;NN;;
inspire;NN;;
job;NN;;
leadership;NN;;
legacy;NN;;
listen;NN;;
moment;NN;;
opportunity;NN;;
passion;NN;;
print;NN;;
push;NN;;
recognition;NN;;
reinvent;NN;;
road;NN;;
shape;NN;;
share;NN;;
success;NN;;
support;NN;;
think;NN;;
tireless;NN;;
tomorrow;NN;;
transcendence;NN;;
transformation;NN;;
trust;NN;;
value;NN;;
vision;NN;;
work;NN;;
Congratulations;NNP;;
Congratulations;NNP;;
Dear;NNP;;
Leader;NNP;;
Thank;NNP;;
achievements;NNS;;
experiences;NNS;;
leaders;NNS;;
reasons;NNS;;
students;NNS;;
me;PRP;;
we;PRP;;
you;PRP;;
you;PRP;;
eternally;RB;;
front;RB;;
only;RB;;
pride;RB;;
together;RB;;
to;TO;;
to;TO;;
to;TO;;
celebrate;VB;;
collaborate;VB;;
endure;VB;;
revolutionize;VB;;
thank;VB;;
watershed;VBD;;
enriching;VBG;;
facing;VBG;;
having;VBG;;
learning;VBG;;
opening;VBG;;
committed;VBN;;
dedicated;VBN;;
lifetime;VBN;;
brave;VBP;;
honor;VBP;;
hope;VBP;;
respect;VBP;;
sweetie;VBP;;
